symbol,open,high,low,price,volume,latestDay,previousClose,change,changePercent
TSLA,263.2500,268.0400,261.7500,264.3500,95856177,2023-07-26,265.2800,-0.9300,-0.3506%
AAPL,193.6700,195.6400,193.3200,194.5000,47471868,2023-07-26,193.6200,0.8800,0.4545%
SNAP,10.3600,10.7300,9.9900,10.7300,137880039,2023-07-26,12.5100,-1.7800,-14.2286%
META,301.1900,301.7700,291.9000,298.5700,47256930,2023-07-26,294.4700,4.1000,1.3923%
AMD,111.9100,112.3600,109.3000,110.0900,51721689,2023-07-26,113.0000,-2.9100,-2.5752%
TWTR,53.7000,53.7000,53.7000,53.7000,0,2022-10-28,53.7000,0.0000,0.0000%
AT,3.0300,3.0300,3.0200,3.0200,919051,2021-05-14,3.0200,0.0000,0.0000%
F,13.5500,13.7500,13.5200,13.6700,42019688,2023-07-26,13.5800,0.0900,0.6627%
INTC,33.7200,34.5250,33.7000,34.3600,32643239,2023-07-26,34.1000,0.2600,0.7625%
MSFT,341.4400,344.6700,333.1100,337.7700,58383702,2023-07-26,350.9800,-13.2100,-3.7637%
GOOG,130.3600,131.3700,128.7100,129.6600,46216895,2023-07-26,122.7900,6.8700,5.5949%
AMZN,126.5100,129.0800,126.1100,128.1500,53910087,2023-07-26,129.1300,-0.9800,-0.7589%
NVDA,460.2100,460.5300,446.3000,454.5200,36423726,2023-07-26,456.7900,-2.2700,-0.4969%
JPM,156.7100,158.2500,156.2750,157.7600,8728593,2023-07-26,156.8200,0.9400,0.5994%
JNJ,172.0000,173.8500,171.4000,172.7200,14288173,2023-07-26,172.3900,0.3300,0.1914%
TSM,99.4900,100.1300,98.5700,99.4100,8993547,2023-07-26,100.3200,-0.9100,-0.9071%
PCGU,154.8400,157.0000,154.6400,157.0000,21198,2023-07-26,155.4500,1.5500,0.9971%
V,231.4150,238.8500,227.6800,237.1000,7551396,2023-07-26,238.6900,-1.5900,-0.6661%
MA,399.1800,403.3100,395.7474,402.4100,2572262,2023-07-26,401.2800,1.1300,0.2816%
IBM,140.4400,141.2500,139.8800,141.0700,4046441,2023-07-26,140.3300,0.7400,0.5273%
